promRT_mhd23
it   t   dt    rho m1 m2 m3 e b1 b2 b3 psi tr d1 d2 d3 d4      c1 c2 c3 n1 n2 n3
      0  0.00000E+00  0.73128E-04  0.18353E+07  0.66684E-30  0.22237E-34  0.00000E+00  0.27717E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.00000E+00 -0.20000E+00  0.27704E+05  0.18000E+01  0.80000E-02  0.69163E-15  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
     29  0.10000E-01  0.38488E-03  0.18349E+07  0.31878E-30  0.69797E-01  0.00000E+00  0.27711E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.15046E-35 -0.20016E+00  0.27698E+05  0.18000E+01  0.79875E-02  0.13530E-02  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
     55  0.20000E-01  0.38488E-03  0.18340E+07  0.26999E-30  0.26079E+00  0.00000E+00  0.27693E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.22569E-35 -0.20020E+00  0.27680E+05  0.18000E+01  0.79509E-02  0.25750E-02  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
     81  0.30000E-01  0.38488E-03  0.18326E+07  0.24664E-30  0.59456E+00  0.00000E+00  0.27665E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.22569E-35 -0.20023E+00  0.27652E+05  0.18000E+01  0.78992E-02  0.37375E-02  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    107  0.40000E-01  0.38488E-03  0.18307E+07  0.23132E-30  0.10911E+01  0.00000E+00  0.27629E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.15046E-35 -0.20026E+00  0.27615E+05  0.18000E+01  0.78462E-02  0.48045E-02  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    133  0.50000E-01  0.38487E-03  0.18284E+07  0.25910E-30  0.17975E+01  0.00000E+00  0.27584E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.90278E-35 -0.20027E+00  0.27570E+05  0.18000E+01  0.77965E-02  0.58045E-02  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    159  0.60000E-01  0.38487E-03  0.18256E+07  0.42836E-30  0.27686E+01  0.00000E+00  0.27532E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.15046E-35 -0.20029E+00  0.27517E+05  0.18000E+01  0.77516E-02  0.67772E-02  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    185  0.70000E-01  0.38487E-03  0.18225E+07  0.86332E-30  0.40508E+01  0.00000E+00  0.27473E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.13712E-20 -0.20030E+00  0.27457E+05  0.18000E+01  0.77084E-02  0.77618E-02  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    211  0.80000E-01  0.38487E-03  0.18189E+07  0.23968E-29  0.56755E+01  0.00000E+00  0.27408E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.12037E-34 -0.20030E+00  0.27390E+05  0.18000E+01  0.76659E-02  0.87544E-02  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    237  0.90000E-01  0.38487E-03  0.18150E+07  0.45478E-29  0.76727E+01  0.00000E+00  0.27336E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.33961E-20 -0.20031E+00  0.27316E+05  0.18000E+01  0.76240E-02  0.97481E-02  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    263  0.10000E+00  0.38487E-03  0.18107E+07  0.72524E-29  0.10071E+02  0.00000E+00  0.27259E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.29760E-20 -0.20031E+00  0.27236E+05  0.18001E+01  0.75824E-02  0.10741E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    289  0.11000E+00  0.38487E-03  0.18060E+07  0.10152E-28  0.12899E+02  0.00000E+00  0.27175E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.76554E-20 -0.20032E+00  0.27150E+05  0.18001E+01  0.75412E-02  0.11732E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
