promRT_mhd23
it   t   dt    rho m1 m2 m3 e b1 b2 b3 psi tr d1 d2 d3 d4      c1 c2 c3 n1 n2 n3
      0  0.00000E+00  0.73128E-04  0.18341E+07  0.66684E-30  0.22237E-34  0.00000E+00  0.27703E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.00000E+00 -0.20000E+00  0.27690E+05  0.18000E+01  0.80000E-02  0.69163E-15  0.84889E+00  0.80000E-01  0.71111E-01   191    72   256
     29  0.10000E-01  0.38488E-03  0.18497E+07  0.60104E-01  0.10453E+03  0.00000E+00  0.28042E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.82002E-09 -0.18523E+00  0.27925E+05  0.18000E+01  0.79738E-02  0.10948E+00  0.84889E+00  0.78889E-01  0.72222E-01   191    71   260
     55  0.20000E-01  0.38488E-03  0.18654E+07  0.42503E+00  0.23068E+03  0.00000E+00  0.28377E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.24169E-07 -0.17510E+00  0.28133E+05  0.18000E+01  0.71712E-02  0.12795E+00  0.84889E+00  0.78889E-01  0.72222E-01   191    71   260
     81  0.30000E-01  0.38488E-03  0.18810E+07  0.13590E+01  0.35210E+03  0.00000E+00  0.28707E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.26060E-07 -0.16509E+00  0.28341E+05  0.18000E+01  0.56117E-02  0.13651E+00  0.84889E+00  0.78889E-01  0.72222E-01   191    71   260
    107  0.40000E-01  0.38488E-03  0.18967E+07  0.29340E+01  0.47298E+03  0.00000E+00  0.29032E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.86705E-07 -0.15468E+00  0.28544E+05  0.18000E+01  0.45888E-02  0.14660E+00  0.84889E+00  0.78889E-01  0.72222E-01   191    71   260
    133  0.50000E-01  0.38487E-03  0.19123E+07  0.50359E+01  0.59430E+03  0.00000E+00  0.29353E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.21869E-06 -0.14422E+00  0.28741E+05  0.18000E+01  0.41059E-02  0.15679E+00  0.84889E+00  0.78889E-01  0.72222E-01   191    71   260
    159  0.60000E-01  0.38487E-03  0.19279E+07  0.76431E+01  0.71351E+03  0.00000E+00  0.29669E+05  0.12531E+02  0.12530E+02  0.00000E+00  0.34222E-06 -0.13368E+00  0.28935E+05  0.18000E+01  0.39994E-02  0.16261E+00  0.84889E+00  0.78889E-01  0.72222E-01   191    71   260
    185  0.70000E-01  0.38487E-03  0.19436E+07  0.10763E+02  0.83002E+03  0.00000E+00  0.29979E+05  0.12531E+02  0.12531E+02  0.00000E+00  0.33531E-06 -0.12304E+00  0.29126E+05  0.18000E+01  0.39095E-02  0.16565E+00  0.84889E+00  0.78889E-01  0.72222E-01   191    71   260
    211  0.80000E-01  0.38487E-03  0.19592E+07  0.14417E+02  0.94459E+03  0.00000E+00  0.30286E+05  0.12531E+02  0.12531E+02  0.00000E+00  0.37977E-06 -0.11233E+00  0.29314E+05  0.18000E+01  0.38661E-02  0.16693E+00  0.84889E+00  0.78889E-01  0.72222E-01   191    71   260
    237  0.90000E-01  0.38487E-03  0.19748E+07  0.18621E+02  0.10573E+04  0.00000E+00  0.30587E+05  0.12531E+02  0.12531E+02  0.00000E+00  0.33738E-06 -0.10154E+00  0.29499E+05  0.18000E+01  0.38463E-02  0.16744E+00  0.84889E+00  0.78889E-01  0.72222E-01   191    71   260
