promRT_mhd23
it   t   dt    rho m1 m2 m3 e b1 b2 b3 psi tr d1 d2 d3 d4      c1 c2 c3 n1 n2 n3
      0  0.00000E+00  0.73149E-04  0.18337E+07  0.66684E-30  0.22237E-34  0.00000E+00  0.27694E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.00000E+00 -0.20000E+00  0.27686E+05  0.18000E+01  0.80000E-02  0.69163E-15  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
     29  0.10000E-01  0.38499E-03  0.18338E+07  0.31909E-30  0.13147E-01  0.00000E+00  0.27695E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.75232E-36 -0.20016E+00  0.27687E+05  0.18000E+01  0.79993E-02  0.29705E-03  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
     55  0.20000E-01  0.38499E-03  0.18339E+07  0.30285E-30  0.40621E-01  0.00000E+00  0.27696E+05  0.80000E+01  0.80000E+01  0.00000E+00 -0.15046E-35 -0.20020E+00  0.27688E+05  0.18000E+01  0.79976E-02  0.52528E-03  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
     81  0.30000E-01  0.38499E-03  0.18340E+07  0.42741E-30  0.71655E-01  0.00000E+00  0.27697E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.45139E-35 -0.20023E+00  0.27689E+05  0.18000E+01  0.79951E-02  0.70050E-03  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    107  0.40000E-01  0.38499E-03  0.18341E+07  0.11844E-29  0.10125E+00  0.00000E+00  0.27699E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.82755E-35 -0.20026E+00  0.27691E+05  0.18000E+01  0.79924E-02  0.83494E-03  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    133  0.50000E-01  0.38498E-03  0.18342E+07  0.37254E-29  0.12737E+00  0.00000E+00  0.27700E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.85744E-21 -0.20027E+00  0.27692E+05  0.18000E+01  0.79896E-02  0.93803E-03  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    159  0.60000E-01  0.38498E-03  0.18343E+07  0.90902E-29  0.14972E+00  0.00000E+00  0.27702E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.49684E-20 -0.20029E+00  0.27694E+05  0.18000E+01  0.79867E-02  0.10180E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    185  0.70000E-01  0.38498E-03  0.18344E+07  0.13380E-28  0.16838E+00  0.00000E+00  0.27703E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.77099E-20 -0.20030E+00  0.27695E+05  0.18000E+01  0.79838E-02  0.10800E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    211  0.80000E-01  0.38498E-03  0.18345E+07  0.17339E-28  0.18340E+00  0.00000E+00  0.27704E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.13830E-19 -0.20030E+00  0.27696E+05  0.18000E+01  0.79809E-02  0.11275E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    237  0.90000E-01  0.38498E-03  0.18346E+07  0.20605E-28  0.19502E+00  0.00000E+00  0.27706E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.98147E-20 -0.20031E+00  0.27697E+05  0.18000E+01  0.79783E-02  0.11629E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    263  0.10000E+00  0.38498E-03  0.18347E+07  0.28544E-28  0.20363E+00  0.00000E+00  0.27707E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.18940E-19 -0.20031E+00  0.27699E+05  0.18001E+01  0.79759E-02  0.11884E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
